2025-06-27T22:24:30.544202, avg_wind=0.06, samples=128
2025-06-27T22:29:32.159633, avg_wind=0.00, samples=128
2025-06-27T22:34:33.788297, avg_wind=0.00, samples=128
2025-06-27T22:39:35.312970, avg_wind=0.14, samples=128
2025-06-27T22:44:36.921812, avg_wind=0.07, samples=128
2025-06-27T22:49:38.492882, avg_wind=0.00, samples=128
2025-06-27T22:54:40.034233, avg_wind=0.00, samples=128
2025-06-27T22:59:41.649351, avg_wind=0.17, samples=128
2025-06-27T23:04:43.187473, avg_wind=0.49, samples=128
2025-06-27T23:09:44.800720, avg_wind=0.15, samples=128
2025-06-27T23:14:46.378872, avg_wind=0.14, samples=128
2025-06-27T23:19:47.928901, avg_wind=0.35, samples=128
2025-06-27T23:24:49.444365, avg_wind=0.24, samples=128
2025-06-27T23:29:50.978985, avg_wind=0.00, samples=128
2025-06-27T23:34:52.624653, avg_wind=0.03, samples=128
2025-06-27T23:39:54.198799, avg_wind=0.36, samples=128
2025-06-27T23:44:55.831167, avg_wind=0.00, samples=128
2025-06-27T23:49:57.430553, avg_wind=0.01, samples=128
2025-06-27T23:54:59.026249, avg_wind=0.00, samples=128
2025-06-28T00:00:00.605394, avg_wind=0.11, samples=128
2025-06-28T00:05:02.187942, avg_wind=0.01, samples=128
2025-06-28T00:10:03.810984, avg_wind=0.69, samples=128
2025-06-28T00:15:05.332379, avg_wind=0.39, samples=128
2025-06-28T00:20:06.889928, avg_wind=0.27, samples=128
2025-06-28T00:25:08.540694, avg_wind=0.10, samples=128
2025-06-28T00:30:10.107473, avg_wind=0.19, samples=128
2025-06-28T00:35:11.694014, avg_wind=0.04, samples=128
2025-06-28T00:40:13.315135, avg_wind=0.11, samples=128
2025-06-28T00:45:14.941258, avg_wind=0.01, samples=128
2025-06-28T00:50:16.557961, avg_wind=0.00, samples=128
2025-06-28T00:55:18.122726, avg_wind=0.00, samples=128
2025-06-28T01:00:19.716116, avg_wind=0.00, samples=128
2025-06-28T01:05:21.304495, avg_wind=0.04, samples=128
2025-06-28T01:10:22.922648, avg_wind=0.00, samples=128
2025-06-28T01:15:24.487478, avg_wind=0.00, samples=128
2025-06-28T01:20:26.077840, avg_wind=0.04, samples=128
2025-06-28T01:25:27.635779, avg_wind=0.00, samples=128
2025-06-28T01:30:29.175843, avg_wind=0.11, samples=128
2025-06-28T01:35:30.740755, avg_wind=0.05, samples=128
2025-06-28T01:40:32.350455, avg_wind=0.05, samples=128
2025-06-28T01:45:33.944456, avg_wind=0.00, samples=128
2025-06-28T01:50:35.662091, avg_wind=0.00, samples=128
2025-06-28T01:55:37.267656, avg_wind=0.17, samples=128
2025-06-28T02:00:38.870752, avg_wind=0.16, samples=128
2025-06-28T02:05:40.410361, avg_wind=0.15, samples=128
2025-06-28T02:10:41.991262, avg_wind=0.02, samples=128
2025-06-28T02:15:43.594479, avg_wind=0.00, samples=128
2025-06-28T02:20:45.262007, avg_wind=0.00, samples=128
2025-06-28T02:25:46.862904, avg_wind=0.28, samples=128
2025-06-28T02:30:48.421383, avg_wind=0.21, samples=128
2025-06-28T02:35:50.049992, avg_wind=0.16, samples=128
2025-06-28T02:40:51.605504, avg_wind=0.04, samples=128
2025-06-28T02:45:53.191126, avg_wind=0.00, samples=128
2025-06-28T02:50:54.790940, avg_wind=0.00, samples=128
2025-06-28T02:55:56.406305, avg_wind=0.07, samples=128
2025-06-28T03:00:57.949787, avg_wind=0.09, samples=128
2025-06-28T03:05:59.569239, avg_wind=0.22, samples=128
2025-06-28T03:11:01.189126, avg_wind=0.16, samples=128
2025-06-28T03:16:02.809439, avg_wind=0.08, samples=128
2025-06-28T03:21:04.420871, avg_wind=0.08, samples=128
2025-06-28T03:26:05.988840, avg_wind=0.09, samples=128
2025-06-28T03:31:07.656234, avg_wind=0.02, samples=128
2025-06-28T03:36:09.216086, avg_wind=0.27, samples=128
2025-06-28T03:41:10.857920, avg_wind=0.25, samples=128
2025-06-28T03:46:12.433060, avg_wind=0.41, samples=128
2025-06-28T03:51:13.973199, avg_wind=0.01, samples=128
2025-06-28T03:56:15.588752, avg_wind=0.00, samples=128
2025-06-28T04:01:17.151317, avg_wind=0.02, samples=128
2025-06-28T04:06:18.740148, avg_wind=0.00, samples=128
2025-06-28T04:11:20.363590, avg_wind=0.00, samples=128
2025-06-28T04:16:21.945476, avg_wind=0.01, samples=128
2025-06-28T04:21:23.547142, avg_wind=0.00, samples=128
2025-06-28T04:26:25.076158, avg_wind=0.00, samples=128
2025-06-28T04:31:26.631580, avg_wind=0.00, samples=128
2025-06-28T04:36:28.240408, avg_wind=0.00, samples=128
2025-06-28T04:41:29.804025, avg_wind=0.00, samples=128
2025-06-28T04:46:31.373270, avg_wind=0.00, samples=128
2025-06-28T04:51:32.945918, avg_wind=0.01, samples=128
2025-06-28T04:56:34.554769, avg_wind=0.00, samples=128
2025-06-28T05:01:36.151370, avg_wind=0.00, samples=128
2025-06-28T05:06:37.744910, avg_wind=0.00, samples=128
2025-06-28T05:11:39.344892, avg_wind=0.00, samples=128
2025-06-28T05:16:40.904358, avg_wind=0.00, samples=128
2025-06-28T05:21:42.598258, avg_wind=0.00, samples=128
2025-06-28T05:26:44.116558, avg_wind=0.00, samples=128
2025-06-28T05:31:45.724984, avg_wind=0.00, samples=128
2025-06-28T05:36:47.267175, avg_wind=0.00, samples=128
2025-06-28T05:41:48.830662, avg_wind=0.00, samples=128
2025-06-28T05:46:50.493637, avg_wind=0.00, samples=128
2025-06-28T05:51:52.087803, avg_wind=0.00, samples=128
2025-06-28T05:56:53.665572, avg_wind=0.00, samples=128
2025-06-28T06:01:55.248106, avg_wind=0.00, samples=128
2025-06-28T06:06:56.817288, avg_wind=0.00, samples=128
2025-06-28T06:11:58.332633, avg_wind=0.00, samples=128
2025-06-28T06:16:59.949570, avg_wind=0.00, samples=128
2025-06-28T06:22:01.494394, avg_wind=0.00, samples=128
2025-06-28T06:27:03.042518, avg_wind=0.00, samples=128
2025-06-28T06:32:04.673664, avg_wind=0.00, samples=128
2025-06-28T06:37:06.284084, avg_wind=0.00, samples=128
2025-06-28T06:42:07.906569, avg_wind=0.00, samples=128
2025-06-28T06:47:09.444921, avg_wind=0.00, samples=128
2025-06-28T06:52:11.034057, avg_wind=0.00, samples=128
2025-06-28T06:57:12.592806, avg_wind=0.02, samples=128
2025-06-28T07:02:14.166208, avg_wind=0.00, samples=128
2025-06-28T07:07:15.801758, avg_wind=0.00, samples=128
2025-06-28T07:12:17.359241, avg_wind=0.00, samples=128
2025-06-28T07:17:18.914849, avg_wind=0.00, samples=128
2025-06-28T07:22:20.496871, avg_wind=0.00, samples=128
2025-06-28T07:27:22.100680, avg_wind=0.00, samples=128
2025-06-28T07:32:23.676914, avg_wind=0.00, samples=128
2025-06-28T07:37:25.234727, avg_wind=0.00, samples=128
2025-06-28T07:42:26.837036, avg_wind=0.00, samples=128
2025-06-28T07:47:28.395592, avg_wind=0.00, samples=128
2025-06-28T07:52:30.000859, avg_wind=0.00, samples=128
2025-06-28T07:57:31.572481, avg_wind=0.00, samples=128
2025-06-28T08:02:33.073331, avg_wind=0.00, samples=128
2025-06-28T08:07:34.677834, avg_wind=0.01, samples=128
2025-06-28T08:12:36.204818, avg_wind=0.00, samples=128
2025-06-28T08:18:41.575264, avg_wind=0.00, samples=1
2025-06-28T08:23:42.831573, avg_wind=0.02, samples=128
2025-06-28T08:28:44.043377, avg_wind=0.08, samples=128
