2025-07-03T11:23:08.764402, avg_wind=1.84, samples=1
2025-07-03T11:23:12.865263, avg_wind=3.24, samples=1
2025-07-03T11:23:21.834679, avg_wind=2.62, samples=1
2025-07-03T11:28:23.971980, avg_wind=1.70, samples=128
2025-07-03T11:33:24.689981, avg_wind=1.37, samples=127
2025-07-03T11:38:26.469550, avg_wind=1.80, samples=128
2025-07-03T11:43:26.625646, avg_wind=1.34, samples=127
2025-07-03T11:48:28.744405, avg_wind=1.53, samples=128
2025-07-03T11:53:29.568619, avg_wind=1.11, samples=127
2025-07-03T11:58:30.086291, avg_wind=1.36, samples=127
2025-07-03T12:03:31.195507, avg_wind=1.49, samples=127
2025-07-03T12:06:47.203669, avg_wind=1.66, samples=1
2025-07-03T12:11:49.439336, avg_wind=1.18, samples=127
2025-07-03T12:13:25.778732, avg_wind=0.26, samples=1
2025-07-03T12:18:27.147175, avg_wind=1.21, samples=127
2025-07-03T12:23:27.371772, avg_wind=1.87, samples=127
2025-07-03T12:28:28.132674, avg_wind=1.92, samples=127
2025-07-03T12:33:30.244698, avg_wind=1.08, samples=128
2025-07-03T12:38:31.025588, avg_wind=0.99, samples=127
2025-07-03T12:43:31.476190, avg_wind=0.89, samples=127
2025-07-03T12:46:13.884816, avg_wind=0.61, samples=1
2025-07-03T12:51:15.298424, avg_wind=1.55, samples=127
2025-07-03T12:51:21.812139, avg_wind=1.40, samples=1
2025-07-03T12:56:23.146255, avg_wind=1.29, samples=127
2025-07-03T12:57:38.413927, avg_wind=1.22, samples=1
2025-07-03T13:02:39.998245, avg_wind=1.63, samples=127
2025-07-03T13:02:54.260552, avg_wind=1.40, samples=1
2025-07-03T13:04:30.322328, avg_wind=0.53, samples=1
2025-07-03T13:06:41.898316, avg_wind=1.75, samples=1
2025-07-03T13:11:42.579064, avg_wind=1.75, samples=127
2025-07-03T13:16:44.828714, avg_wind=1.67, samples=128
2025-07-03T13:21:45.290519, avg_wind=1.71, samples=127
2025-07-03T13:26:45.643912, avg_wind=1.16, samples=127
2025-07-03T13:31:45.769720, avg_wind=1.47, samples=127
2025-07-03T13:32:23.960119, avg_wind=1.40, samples=1
2025-07-03T13:37:24.646097, avg_wind=1.71, samples=127
2025-07-03T13:42:24.782535, avg_wind=1.55, samples=127
2025-07-03T13:47:25.202050, avg_wind=1.19, samples=127
2025-07-03T13:52:27.627621, avg_wind=1.16, samples=128
2025-07-03T13:57:27.729525, avg_wind=1.04, samples=127
2025-07-03T14:02:29.954849, avg_wind=1.51, samples=127
2025-07-03T14:07:30.693156, avg_wind=1.29, samples=127
2025-07-03T14:12:32.821452, avg_wind=1.53, samples=128
2025-07-03T14:17:34.417931, avg_wind=1.58, samples=127
2025-07-03T14:22:35.725751, avg_wind=1.27, samples=127
2025-07-03T14:27:36.178686, avg_wind=1.83, samples=127
2025-07-03T14:32:36.915570, avg_wind=1.21, samples=127
2025-07-03T14:37:39.146511, avg_wind=1.30, samples=127
2025-07-03T14:42:41.271073, avg_wind=1.78, samples=128
2025-07-03T14:47:41.977320, avg_wind=1.62, samples=127
2025-07-03T14:52:42.652816, avg_wind=1.69, samples=127
2025-07-03T14:57:44.594093, avg_wind=1.33, samples=127
2025-07-03T15:02:46.652607, avg_wind=1.18, samples=128
2025-07-03T15:07:47.189214, avg_wind=1.30, samples=127
2025-07-03T15:12:48.822104, avg_wind=1.30, samples=127
2025-07-03T15:17:50.908643, avg_wind=1.65, samples=128
2025-07-03T15:22:52.950473, avg_wind=1.15, samples=128
2025-07-03T15:27:53.974830, avg_wind=1.54, samples=127
2025-07-03T15:32:54.657556, avg_wind=1.47, samples=127
2025-07-03T15:37:55.656960, avg_wind=1.48, samples=127
2025-07-03T15:42:56.104063, avg_wind=1.98, samples=127
2025-07-03T15:47:57.339902, avg_wind=1.70, samples=127
2025-07-03T15:52:58.611372, avg_wind=1.77, samples=127
2025-07-03T15:57:58.735948, avg_wind=1.73, samples=127
2025-07-03T16:03:00.126139, avg_wind=1.82, samples=126
2025-07-03T16:08:02.020058, avg_wind=1.82, samples=128
2025-07-03T16:13:02.489312, avg_wind=1.87, samples=127
2025-07-03T16:18:03.700302, avg_wind=1.77, samples=128
2025-07-03T16:23:05.233343, avg_wind=1.57, samples=127
2025-07-03T16:28:05.102231, avg_wind=1.63, samples=127
2025-07-03T16:33:05.567253, avg_wind=1.67, samples=127
2025-07-03T16:38:06.340041, avg_wind=1.09, samples=127
2025-07-03T16:43:08.130842, avg_wind=0.94, samples=128
2025-07-03T16:48:08.570968, avg_wind=1.11, samples=127
2025-07-03T16:53:09.823830, avg_wind=1.67, samples=127
2025-07-03T16:58:10.835559, avg_wind=1.45, samples=127
2025-07-03T17:03:12.199281, avg_wind=0.89, samples=127
2025-07-03T17:08:13.443687, avg_wind=0.76, samples=127
2025-07-03T17:13:13.566501, avg_wind=0.85, samples=127
2025-07-03T17:18:13.985898, avg_wind=0.93, samples=127
2025-07-03T17:23:14.384274, avg_wind=0.98, samples=127
2025-07-03T17:28:16.487312, avg_wind=0.99, samples=128
2025-07-03T17:33:16.909718, avg_wind=1.26, samples=127
2025-07-03T17:38:19.102185, avg_wind=1.54, samples=127
2025-07-03T17:43:19.854373, avg_wind=0.78, samples=127
2025-07-03T17:48:21.967199, avg_wind=0.96, samples=128
2025-07-03T17:53:22.364454, avg_wind=1.34, samples=127
2025-07-03T17:58:22.872140, avg_wind=1.05, samples=127
