2025-07-03T10:04:19.547985, avg_flow=0.0170, samples=3
2025-07-03T10:04:26.373571, avg_flow=0.0185, samples=3
2025-07-03T10:04:33.190643, avg_flow=0.0163, samples=3
2025-07-03T10:04:40.308501, avg_flow=0.0156, samples=3
2025-07-03T10:04:47.130411, avg_flow=0.0185, samples=3
2025-07-03T10:04:53.946336, avg_flow=0.0170, samples=3
2025-07-03T10:05:00.763222, avg_flow=0.0163, samples=3
2025-07-03T10:05:07.587685, avg_flow=0.0059, samples=3
2025-07-03T10:08:14.897898, avg_flow=0.0059, samples=128
2025-07-03T10:13:16.609682, avg_flow=0.0000, samples=128
2025-07-03T10:15:04.197929, avg_flow=0.0012, samples=43
2025-07-03T10:15:11.015373, avg_flow=0.0200, samples=3
2025-07-03T10:15:17.832990, avg_flow=0.0185, samples=3
2025-07-03T10:15:24.951114, avg_flow=0.0178, samples=3
2025-07-03T10:15:31.767085, avg_flow=0.0170, samples=3
2025-07-03T10:15:38.598705, avg_flow=0.0170, samples=3
2025-07-03T10:15:45.716663, avg_flow=0.0170, samples=3
2025-07-03T10:15:52.534037, avg_flow=0.0178, samples=3
2025-07-03T10:15:59.349399, avg_flow=0.0170, samples=3
2025-07-03T10:16:06.165298, avg_flow=0.0170, samples=3
2025-07-03T10:16:12.982841, avg_flow=0.0163, samples=3
2025-07-03T10:16:19.801524, avg_flow=0.0178, samples=3
2025-07-03T10:16:26.623842, avg_flow=0.0178, samples=3
2025-07-03T10:16:33.440604, avg_flow=0.0163, samples=3
2025-07-03T10:16:40.256737, avg_flow=0.0170, samples=3
2025-07-03T10:16:47.073721, avg_flow=0.0178, samples=3
2025-07-03T10:16:53.910820, avg_flow=0.0178, samples=3
2025-07-03T10:17:00.725495, avg_flow=0.0170, samples=3
2025-07-03T10:17:07.551402, avg_flow=0.0178, samples=3
2025-07-03T10:17:14.388209, avg_flow=0.0170, samples=3
2025-07-03T10:17:21.213560, avg_flow=0.0156, samples=3
2025-07-03T10:17:28.028829, avg_flow=0.0178, samples=3
2025-07-03T10:17:34.847402, avg_flow=0.0163, samples=3
2025-07-03T10:17:41.666732, avg_flow=0.0178, samples=3
2025-07-03T10:17:48.490695, avg_flow=0.0178, samples=3
2025-07-03T10:17:55.308032, avg_flow=0.0163, samples=3
2025-07-03T10:18:02.127248, avg_flow=0.0163, samples=3
2025-07-03T10:18:09.243906, avg_flow=0.0178, samples=3
2025-07-03T10:18:16.062707, avg_flow=0.0178, samples=3
2025-07-03T10:18:18.336285, avg_flow=0.0119, samples=128
2025-07-03T10:18:29.241103, avg_flow=0.0178, samples=1
2025-07-03T10:18:36.058733, avg_flow=0.0170, samples=3
2025-07-03T10:18:42.877021, avg_flow=0.0170, samples=3
2025-07-03T10:18:49.697825, avg_flow=0.0178, samples=3
2025-07-03T10:18:56.516199, avg_flow=0.0185, samples=3
2025-07-03T10:19:03.334957, avg_flow=0.0170, samples=3
2025-07-03T10:19:10.154229, avg_flow=0.0178, samples=3
2025-07-03T10:19:16.981532, avg_flow=0.0170, samples=3
2025-07-03T10:19:23.799211, avg_flow=0.0170, samples=3
2025-07-03T10:19:30.621347, avg_flow=0.0170, samples=3
2025-07-03T10:19:37.437624, avg_flow=0.0170, samples=3
2025-07-03T10:19:44.255921, avg_flow=0.0163, samples=3
2025-07-03T10:19:51.073897, avg_flow=0.0163, samples=3
2025-07-03T10:19:57.892794, avg_flow=0.0170, samples=3
2025-07-03T10:20:04.711745, avg_flow=0.0104, samples=3
2025-07-03T10:22:51.413340, avg_flow=0.0000, samples=1
2025-07-03T10:27:52.626404, avg_flow=0.0000, samples=128
2025-07-03T10:32:53.043866, avg_flow=0.0000, samples=128
2025-07-03T10:37:54.351791, avg_flow=0.0000, samples=128
2025-07-03T10:41:54.249762, avg_flow=0.0002, samples=101
2025-07-03T10:42:01.077373, avg_flow=0.1356, samples=3
2025-07-03T10:42:07.901668, avg_flow=0.0289, samples=3
2025-07-03T10:42:14.719167, avg_flow=0.0185, samples=3
2025-07-03T10:42:21.531957, avg_flow=0.0178, samples=3
2025-07-03T10:42:28.345122, avg_flow=0.0059, samples=3
2025-07-03T10:42:55.647773, avg_flow=0.0050, samples=128
2025-07-03T10:47:57.893107, avg_flow=0.0000, samples=128
2025-07-03T10:52:59.293971, avg_flow=0.0000, samples=128
2025-07-03T10:58:01.644043, avg_flow=0.0000, samples=128
2025-07-03T11:03:01.711661, avg_flow=0.0000, samples=127
2025-07-03T11:08:02.564118, avg_flow=0.0000, samples=128
2025-07-03T11:08:24.855828, avg_flow=0.0000, samples=1
2025-07-03T11:11:56.694308, avg_flow=0.0016, samples=89
2025-07-03T11:12:03.512203, avg_flow=0.0215, samples=3
2025-07-03T11:12:10.327855, avg_flow=0.0178, samples=3
2025-07-03T11:12:17.143273, avg_flow=0.0178, samples=3
2025-07-03T11:12:23.963317, avg_flow=0.0178, samples=3
2025-07-03T11:12:30.807495, avg_flow=0.0015, samples=3
2025-07-03T11:13:25.361931, avg_flow=0.0029, samples=128
2025-07-03T11:17:05.307474, avg_flow=0.0000, samples=1
2025-07-03T11:17:09.337636, avg_flow=0.0000, samples=1
2025-07-03T11:17:13.352063, avg_flow=0.0000, samples=1
2025-07-03T11:17:17.699060, avg_flow=0.0000, samples=1
2025-07-03T11:17:21.886529, avg_flow=0.0000, samples=1
2025-07-03T11:17:25.821885, avg_flow=0.0000, samples=1
2025-07-03T11:17:29.866576, avg_flow=0.0000, samples=1
2025-07-03T11:17:33.861710, avg_flow=0.0000, samples=1
2025-07-03T11:17:37.863353, avg_flow=0.0000, samples=1
2025-07-03T11:17:41.852719, avg_flow=0.0000, samples=1
2025-07-03T11:17:45.830996, avg_flow=0.0000, samples=1
2025-07-03T11:17:49.840962, avg_flow=0.0000, samples=1
2025-07-03T11:17:53.836205, avg_flow=0.0000, samples=1
2025-07-03T11:17:57.824075, avg_flow=0.0000, samples=1
2025-07-03T11:18:01.818992, avg_flow=0.0000, samples=1
2025-07-03T11:18:05.863689, avg_flow=0.0000, samples=1
2025-07-03T11:18:09.817496, avg_flow=0.0000, samples=1
2025-07-03T11:18:13.840440, avg_flow=0.0000, samples=1
2025-07-03T11:18:18.176255, avg_flow=0.0000, samples=1
2025-07-03T11:18:22.077936, avg_flow=0.0000, samples=1
2025-07-03T11:18:26.062190, avg_flow=0.0000, samples=1
2025-07-03T11:18:30.081514, avg_flow=0.0000, samples=1
2025-07-03T11:18:34.051669, avg_flow=0.0000, samples=1
2025-07-03T11:18:38.070015, avg_flow=0.0000, samples=1
2025-07-03T11:18:42.164684, avg_flow=0.0000, samples=1
2025-07-03T11:18:46.192441, avg_flow=0.0000, samples=1
2025-07-03T11:18:50.093019, avg_flow=0.0000, samples=1
2025-07-03T11:18:54.147035, avg_flow=0.0000, samples=1
2025-07-03T11:18:58.109042, avg_flow=0.0000, samples=1
2025-07-03T11:19:02.101715, avg_flow=0.0000, samples=1
2025-07-03T11:19:06.108324, avg_flow=0.0000, samples=1
2025-07-03T11:19:10.427829, avg_flow=0.0000, samples=1
2025-07-03T11:19:14.326854, avg_flow=0.0000, samples=1
2025-07-03T11:19:18.354681, avg_flow=0.0000, samples=1
2025-07-03T11:19:22.408923, avg_flow=0.0000, samples=1
2025-07-03T11:19:26.349954, avg_flow=0.0000, samples=1
2025-07-03T11:19:30.409292, avg_flow=0.0000, samples=1
2025-07-03T11:19:34.369996, avg_flow=0.0000, samples=1
2025-07-03T11:19:38.329363, avg_flow=0.0000, samples=1
2025-07-03T11:19:42.354400, avg_flow=0.0000, samples=1
2025-07-03T11:19:46.353637, avg_flow=0.0000, samples=1
2025-07-03T11:19:50.365544, avg_flow=0.0000, samples=1
2025-07-03T11:19:54.496766, avg_flow=0.0000, samples=1
2025-07-03T11:19:58.593738, avg_flow=0.0000, samples=1
2025-07-03T11:20:02.592060, avg_flow=0.0000, samples=1
2025-07-03T11:20:06.563544, avg_flow=0.0000, samples=1
2025-07-03T11:20:10.565640, avg_flow=0.0000, samples=1
2025-07-03T11:20:14.608049, avg_flow=0.0000, samples=1
2025-07-03T11:20:18.606132, avg_flow=0.0000, samples=1
2025-07-03T11:20:22.645398, avg_flow=0.0000, samples=1
2025-07-03T11:20:26.615146, avg_flow=0.0000, samples=1
2025-07-03T11:20:30.628708, avg_flow=0.0000, samples=1
2025-07-03T11:20:34.584029, avg_flow=0.0000, samples=1
2025-07-03T11:20:38.570444, avg_flow=0.0000, samples=1
2025-07-03T11:20:42.598151, avg_flow=0.0000, samples=1
2025-07-03T11:20:46.914403, avg_flow=0.0000, samples=1
2025-07-03T11:20:50.812591, avg_flow=0.0000, samples=1
2025-07-03T11:20:54.912145, avg_flow=0.0000, samples=1
2025-07-03T11:20:58.880022, avg_flow=0.0000, samples=1
2025-07-03T11:21:02.866840, avg_flow=0.0000, samples=1
2025-07-03T11:21:06.868340, avg_flow=0.0000, samples=1
2025-07-03T11:21:10.968137, avg_flow=0.0000, samples=1
2025-07-03T11:21:15.102002, avg_flow=0.0000, samples=1
2025-07-03T11:21:19.014857, avg_flow=0.0000, samples=1
2025-07-03T11:21:23.079068, avg_flow=0.0000, samples=1
2025-07-03T11:21:27.144033, avg_flow=0.0000, samples=1
