[MQTT][2025-07-04 03:56:34] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:56:41] MQTT connect error: timed out
[MQTT][2025-07-04 03:56:41] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:56:46] MQTT connect error: timed out
[MQTT][2025-07-04 03:56:46] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:56:53] MQTT connect error: timed out
[MQTT][2025-07-04 03:56:53] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:56:58] MQTT connect error: timed out
[MQTT][2025-07-04 03:56:58] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:57:06] MQTT connect error: timed out
[MQTT][2025-07-04 03:57:06] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:57:11] MQTT connect error: timed out
[MQTT][2025-07-04 03:57:11] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:57:18] MQTT connect error: timed out
[MQTT][2025-07-04 03:57:18] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:57:23] MQTT connect error: timed out
[MQTT][2025-07-04 03:57:23] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:57:31] MQTT connect error: timed out
[MQTT][2025-07-04 03:57:31] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:57:36] MQTT connect error: timed out
[MQTT][2025-07-04 03:57:36] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:57:43] MQTT connect error: timed out
[MQTT][2025-07-04 03:57:43] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:57:48] MQTT connect error: timed out
[MQTT][2025-07-04 03:57:48] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:57:56] MQTT connect error: timed out
[MQTT][2025-07-04 03:57:56] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:58:01] MQTT connect error: timed out
[MQTT][2025-07-04 03:58:01] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:58:08] MQTT connect error: timed out
[MQTT][2025-07-04 03:58:08] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:58:13] MQTT connect error: timed out
[MQTT][2025-07-04 03:58:13] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:58:21] MQTT connect error: timed out
[MQTT][2025-07-04 03:58:21] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:58:26] MQTT connect error: timed out
[MQTT][2025-07-04 03:58:26] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:58:33] MQTT connect error: timed out
[MQTT][2025-07-04 03:58:33] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:58:38] MQTT connect error: timed out
[MQTT][2025-07-04 03:58:38] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:58:45] MQTT connect error: timed out
[MQTT][2025-07-04 03:58:45] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:58:50] MQTT connect error: timed out
[MQTT][2025-07-04 03:58:50] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:58:57] MQTT connect error: timed out
[MQTT][2025-07-04 03:58:57] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:59:02] MQTT connect error: timed out
[MQTT][2025-07-04 03:59:02] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:59:10] MQTT connect error: timed out
[MQTT][2025-07-04 03:59:10] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:59:15] MQTT connect error: timed out
[MQTT][2025-07-04 03:59:15] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:59:22] MQTT connect error: timed out
[MQTT][2025-07-04 03:59:22] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:59:27] MQTT connect error: timed out
[MQTT][2025-07-04 03:59:27] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:59:34] MQTT connect error: timed out
[MQTT][2025-07-04 03:59:34] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:59:39] MQTT connect error: timed out
[MQTT][2025-07-04 03:59:39] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:59:47] MQTT connect error: timed out
[MQTT][2025-07-04 03:59:47] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 03:59:52] MQTT connect error: timed out
[MQTT][2025-07-04 03:59:52] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 03:59:59] MQTT connect error: timed out
[MQTT][2025-07-04 03:59:59] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:00:04] MQTT connect error: timed out
[MQTT][2025-07-04 04:00:04] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:00:11] MQTT connect error: timed out
[MQTT][2025-07-04 04:00:11] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:00:16] MQTT connect error: timed out
[MQTT][2025-07-04 04:00:16] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:00:23] MQTT connect error: timed out
[MQTT][2025-07-04 04:00:23] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:00:28] MQTT connect error: timed out
[MQTT][2025-07-04 04:00:28] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:00:36] MQTT connect error: timed out
[MQTT][2025-07-04 04:00:36] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:00:41] MQTT connect error: timed out
[MQTT][2025-07-04 04:00:41] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:00:48] MQTT connect error: timed out
[MQTT][2025-07-04 04:00:48] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:00:53] MQTT connect error: timed out
[MQTT][2025-07-04 04:00:53] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:01:00] MQTT connect error: timed out
[MQTT][2025-07-04 04:01:00] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:01:05] MQTT connect error: timed out
[MQTT][2025-07-04 04:01:05] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:01:13] MQTT connect error: timed out
[MQTT][2025-07-04 04:01:13] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:01:18] MQTT connect error: timed out
[MQTT][2025-07-04 04:01:18] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:01:31] MQTT connect error: timed out
[MQTT][2025-07-04 04:01:31] MQTT publish failed: rc=4, topic=sensors/plant
[MQTT][2025-07-04 04:01:39] MQTT connect error: timed out
[MQTT][2025-07-04 04:01:39] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:01:44] MQTT connect error: timed out
[MQTT][2025-07-04 04:01:44] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:01:51] MQTT connect error: timed out
[MQTT][2025-07-04 04:01:51] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:01:56] MQTT connect error: timed out
[MQTT][2025-07-04 04:01:56] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:02:03] MQTT connect error: timed out
[MQTT][2025-07-04 04:02:03] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:02:08] MQTT connect error: timed out
[MQTT][2025-07-04 04:02:08] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:02:15] MQTT connect error: timed out
[MQTT][2025-07-04 04:02:15] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:02:20] MQTT connect error: timed out
[MQTT][2025-07-04 04:02:20] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:02:28] MQTT connect error: timed out
[MQTT][2025-07-04 04:02:28] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:02:33] MQTT connect error: timed out
[MQTT][2025-07-04 04:02:33] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:02:40] MQTT connect error: timed out
[MQTT][2025-07-04 04:02:40] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:02:45] MQTT connect error: timed out
[MQTT][2025-07-04 04:02:45] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:02:52] MQTT connect error: timed out
[MQTT][2025-07-04 04:02:52] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:02:57] MQTT connect error: timed out
[MQTT][2025-07-04 04:02:57] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:03:05] MQTT connect error: timed out
[MQTT][2025-07-04 04:03:05] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:03:10] MQTT connect error: timed out
[MQTT][2025-07-04 04:03:10] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:03:17] MQTT connect error: timed out
[MQTT][2025-07-04 04:03:17] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:03:22] MQTT connect error: timed out
[MQTT][2025-07-04 04:03:22] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:03:29] MQTT connect error: timed out
[MQTT][2025-07-04 04:03:29] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:03:35] MQTT connect error: timed out
[MQTT][2025-07-04 04:03:35] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:03:42] MQTT connect error: timed out
[MQTT][2025-07-04 04:03:42] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:03:47] MQTT connect error: timed out
[MQTT][2025-07-04 04:03:47] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:03:54] MQTT connect error: timed out
[MQTT][2025-07-04 04:03:54] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:03:59] MQTT connect error: timed out
[MQTT][2025-07-04 04:03:59] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:04:06] MQTT connect error: timed out
[MQTT][2025-07-04 04:04:06] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:04:11] MQTT connect error: timed out
[MQTT][2025-07-04 04:04:11] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:04:19] MQTT connect error: timed out
[MQTT][2025-07-04 04:04:19] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:04:24] MQTT connect error: timed out
[MQTT][2025-07-04 04:04:24] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:04:31] MQTT connect error: timed out
[MQTT][2025-07-04 04:04:31] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:04:36] MQTT connect error: timed out
[MQTT][2025-07-04 04:04:36] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:04:44] MQTT connect error: timed out
[MQTT][2025-07-04 04:04:44] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:04:49] MQTT connect error: timed out
[MQTT][2025-07-04 04:04:49] MQTT publish failed: rc=4, topic=sensors/environment
[MQTT][2025-07-04 04:04:56] MQTT connect error: timed out
[MQTT][2025-07-04 04:04:56] MQTT publish failed: rc=4, topic=sensors/sets
[MQTT][2025-07-04 04:05:01] MQTT connect error: timed out
[MQTT][2025-07-04 04:05:01] MQTT publish failed: rc=4, topic=sensors/environment
